stock_group,stock_group_cleaned,inv_code,description,units,last_cost,barcode
     STOCK GROUP 1000 - POULTRY PURCHASES,POULTRY ,100004,CHICKEN FILLETS,Kilogram,8,*100004*
     STOCK GROUP 1000 - POULTRY PURCHASES,POULTRY ,100040,CHICKEN FRAMES,Kilogram,0.25,*100040*
     STOCK GROUP 1000 - POULTRY PURCHASES,POULTRY ,100000,CHICKEN SCHNITZEL - LARGE,Kilogram,2.95,*100000*
     STOCK GROUP 1000 - POULTRY PURCHASES,POULTRY ,100022,DUCK - WHOLE,Each,15.94,*100022*
     STOCK GROUP 1000 - POULTRY PURCHASES,POULTRY ,100038,DUCK BREAST,Each,26.52,*100038*
     STOCK GROUP 1000 - POULTRY PURCHASES,POULTRY ,100048,DUCK FAT,Each,38.39,*100048*
     STOCK GROUP 1000 - POULTRY PURCHASES,POULTRY ,100016,DUCK FILLET,Each,5.8,*100016*
     STOCK GROUP 1000 - POULTRY PURCHASES,POULTRY ,100010,MARYLAND FILLET,Kilogram,7.5,*100010*
     STOCK GROUP 1000 - POULTRY PURCHASES,POULTRY ,100030,POUSOUNS,Each,6.25,*100030*
     STOCK GROUP 1000 - POULTRY PURCHASES,POULTRY ,100028,QUAIL BONED,Each,3.8,*100028*
     STOCK GROUP 1000 - POULTRY PURCHASES,POULTRY ,100046,TURKEY BREAST SMOKED,Kilogram,15,*100046*
     STOCK GROUP 1001 - BEEF PURCHASE,BEEF ,100100,BEEF BONES,Kilogram,2.5,*100100*
     STOCK GROUP 1001 - BEEF PURCHASE,BEEF ,100167,BEEF CHEEK,Kilogram,11,*100167*
     STOCK GROUP 1001 - BEEF PURCHASE,BEEF ,100101,BEEF DICED,Kilogram,10.6,*100101*
     STOCK GROUP 1001 - BEEF PURCHASE,BEEF ,100174,BEEF MARROW,Kilogram,2,*100174*
     STOCK GROUP 1001 - BEEF PURCHASE,BEEF ,100102,BEEF MINCED,Kilogram,8.97,*100102*
     STOCK GROUP 1001 - BEEF PURCHASE,BEEF ,100176,BLACK ANGUS CUBE ROLL (SCOTCH FILLET),Kilogram,16.9,*100176*
     STOCK GROUP 1001 - BEEF PURCHASE,BEEF ,100170,BLACK ANGUS EYE FILLET,Kilogram,28.5,*100170*
     STOCK GROUP 1001 - BEEF PURCHASE,BEEF ,100169,BLACK ANGUS STRIPLOIN,Kilogram,14.5,*100169*
     STOCK GROUP 1001 - BEEF PURCHASE,BEEF ,100150,EYE FILLET SPECIAL PRICE,Kilogram,24.99,*100150*
     STOCK GROUP 1001 - BEEF PURCHASE,BEEF ,100157,MSA STRIP LOIN KING ISLAND,Kilogram,16.9,*100157*
